2026-03-29 18:16:52,150 INFO    MainThread:5792 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_setup.py:_flush():81] Configure stats pid to 5792
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/ishanpatel/repos/HW6/wandb/run-20260329_181652-58es7osk/logs/debug.log
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/ishanpatel/repos/HW6/wandb/run-20260329_181652-58es7osk/logs/debug-internal.log
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_init.py:init():844] calling init triggers
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'dataset_name': 'wmt14', 'dataset_config_name': 'de-en', 'source_lang': 'en', 'target_lang': 'de', 'debug': False, 'num_layers': 6, 'hidden_size': 512, 'num_heads': 8, 'fcn_hidden': 2048, 'max_seq_length': 128, 'device': 'mps', 'batch_size': 32, 'learning_rate': 0.0003, 'weight_decay': 0.0, 'dropout_rate': 0.1, 'num_train_epochs': 1, 'eval_every_steps': 10000, 'logging_steps': 10, 'lr_scheduler_type': <SchedulerType.LINEAR: 'linear'>, 'num_warmup_steps': 5000, 'generation_type': 'beam_search', 'beam_size': 5, 'output_dir': 'en_de_output_dir', 'seed': None, '_wandb': {}}
2026-03-29 18:16:52,151 INFO    MainThread:5792 [wandb_init.py:init():892] starting backend
2026-03-29 18:16:52,419 INFO    MainThread:5792 [wandb_init.py:init():895] sending inform_init request
2026-03-29 18:16:52,460 INFO    MainThread:5792 [wandb_init.py:init():903] backend started and connected
2026-03-29 18:16:52,464 INFO    MainThread:5792 [wandb_init.py:init():973] updated telemetry
2026-03-29 18:16:52,464 INFO    MainThread:5792 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-29 18:16:52,900 INFO    MainThread:5792 [wandb_init.py:init():1042] starting run threads in backend
2026-03-29 18:16:52,962 INFO    MainThread:5792 [wandb_run.py:_console_start():2524] atexit reg
2026-03-29 18:16:52,962 INFO    MainThread:5792 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-29 18:16:52,962 INFO    MainThread:5792 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-29 18:16:52,962 INFO    MainThread:5792 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-29 18:16:52,965 INFO    MainThread:5792 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-29 18:20:03,104 INFO    wandb-AsyncioManager-main:5792 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-29 18:20:03,110 INFO    wandb-AsyncioManager-main:5792 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
